organism,ID
Acanthamoeba astronyxis,65658
Acanthamoeba castellanii,5755
Acanthamoeba culbertsoni,43142
Acanthamoeba divionensis,202919
Acanthamoeba hatchetti,65660
Acanthamoeba lenticulata,29196
Acanthamoeba lugdunensis,61605
Acanthamoeba polyphaga,5757
Acanthamoeba rhysodes,32599
Adenocephalus pacificus,372152
Alternaria alternata,5599
Alternaria brassicicola,29001
Ancylostoma braziliense,369059
Ancylostoma caninum,29170
Ancylostoma ceylanicum,53326
Ancylostoma duodenale,51022
Angiostrongylus cantonensis,6313
Angiostrongylus costaricensis,334426
Anisakis simplex,6269
Anncaliia algerae,723287
Apophysomyces variabilis,760013
Ascaris lumbricoides,6252
Ascaris suum,6253
Aspergillus flavus,5059
Aspergillus fumigatus,746128
Aspergillus nidulans,162425
Aspergillus niger,5061
Aspergillus terreus,33178
Babesia divergens,32595
Babesia duncani,323732
Babesia microti,5868
Babesia sp. venatorum,171411
Balamuthia mandrillaris,66527
Basidiobolus ranarum,34480
Baylisascaris procyonis,6259
Bertiella mucronata,2817671
Bertiella studeri,578852
Blastocystis hominis,12968
Blastomyces dermatitidis,5039
Blastomyces gilchristii,1681229
Blastomyces helicus,465036
Brugia malayi,6279
Brugia pahangi,6280
Brugia timori,42155
Candida albicans,5476
Candida dubliniensis,42374
Candida parapsilosis,5480
Candida tropicalis,5482
Capillaria hepatica,1239592
Chrysomya bezziana,69364
Cladophialophora bantiana,89940
Cladophialophora boppii,82106
Cladophialophora carrionii,86049
Clavispora lusitaniae,36911
Clinostomum complanatum,235145
Clonorchis sinensis,79923
Coccidioides immitis,5501
Coccidioides posadasii,199306
Cochliomyia hominivorax,115425
Colletotrichum coccodes,27358
Colletotrichum gloeosporioides,474922
Conidiobolus coronatus,34488
Conidiobolus incongruus,90249
Contracaecum osculatum,106324
Cryptococcus gattii,37769
Cryptococcus neoformans,5207
Cryptosporidium hominis,237895
Cryptosporidium parvum,5807
Curvularia australiensis,91365
Curvularia hawaiiensis,1230527
Curvularia lunata,5503
Curvularia papendorfii,1537989
Curvularia spicifera,145392
Cyclospora cayetanensis,88456
Cystoisospora belli,482538
Dermanyssus gallinae,34641
Dermatobia hominis,115427
Dicrocoelium dendriticum,57078
Dientamoeba fragilis,43352
Dioctophyme renale,513045
Diphyllobothrium latum,60516
Dirofilaria immitis,6287
Dirofilaria repens,31241
Dracunculus medinensis,318479
Echinococcus granulosus,6210
Echinococcus multilocularis,6211
Echinococcus oligarthrus,6212
Echinococcus vogeli,6213
Echinolaelaps echidninus,2759148
Emmonsia crescens,73230
Encephalitozoon cuniculi,6035
Encephalitozoon hellem,27973
Encephalitozoon intestinalis,58839
Entamoeba histolytica,5759
Enterobius vermicularis,51028
Enterocytozoon bieneusi,31281
Epidermophyton floccosum,34391
Exophiala dermatitidis,5970
Fasciola gigantica,46835
Fasciola hepatica,6192
Fasciolopsis buski,27845
Fonsecaea compacta,86057
Fonsecaea pedrosoi,40355
Fusarium fujikuroi,5127
Fusarium oxysporum,5507
Fusarium solani,169388
Giardia intestinalis,5741
Gnathostoma hispidum,279404
Gnathostoma spinigerum,75299
Halicephalobus gingivalis,114868
Heterophyes heterophyes,1849833
Histoplasma capsulatum,5037
Hymenolepis diminuta,6216
Leishmania aethiopica,5667
Leishmania amazonensis,5659
Leishmania braziliensis,5660
Leishmania chagasi,44271
Leishmania colombiensis,93413
Leishmania donovani,5661
Leishmania guyanensis,5670
Leishmania infantum,5671
Leishmania major,5664
Leishmania martiniquensis,1580590
Leishmania mexicana,5665
Leishmania naiffi,5678
Leishmania panamensis,5679
Leishmania peruviana,5681
Leishmania tropica,5666
Lichtheimia corymbifera,42458
Lichtheimia ramosa,688394
Linguatula serrata,646052
Loa loa,7209
Lomentospora prolificans,41688
Madurella mycetomatis,100816
Mansonella ozzardi,122354
Mansonella perstans,42231
Mansonella streptocerca,1761664
Metagonimus yokogawai,84529
Moniliformis moniliformis,10237
Mucor circinelloides,36080
Naegleria fowleri,5763
Nakaseomyces glabratus,5478
Necator americanus,51031
Neobalantidium coli,71585
Onchocerca volvulus,6282
Opisthorchis felineus,147828
Opisthorchis sinensis,41765
Opisthorchis viverrini,6198
Ornithonyssus bacoti,480692
Ornithonyssus bursa,663933
Ornithonyssus sylviarum,224536
Paracapillaria philippinensis,1457282
Paracoccidioides brasiliensis,121759
Paragonimus africanus,434055
Paragonimus heterotremus,100268
Paragonimus kellicotti,100269
Paragonimus mexicanus,100270
Paragonimus siamensis,100271
Paragonimus skrjabini,59630
Paragonimus uterobilateralis,2912759
Paragonimus westermani,34504
Pediculus humanus,121225
Phialophora verrucosa,39412
Pichia kudriavzevii,4909
